col_datetime,index,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046,col_year,col_label
2022-09-27 19:05:24,1245,27,19,5,9,24,2022-09-27T17:12:41.000Z,0,5,0,0,0,18,1,0,141,145,9744,0,0,,140.7,24,0,0,300,305,298,298,302,300,297,302,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:05:26,1246,27,19,5,9,26,2022-09-27T17:12:43.000Z,0,5,0,0,0,18,1,0,141,145,9752,0,0,,58.8,24,0,0,300,305,298,298,302,300,297,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:05:29,1247,27,19,5,9,29,2022-09-27T17:12:46.000Z,0,5,0,0,0,18,1,0,141,145,9760,0,0,,115.0,24,0,0,300,305,297,298,301,299,298,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:05:31,1248,27,19,5,9,31,2022-09-27T17:12:48.000Z,0,5,0,0,0,18,1,0,141,145,9768,0,0,,33.1,24,0,0,299,305,297,298,301,299,298,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:05:34,1249,27,19,5,9,34,2022-09-27T17:12:51.000Z,0,5,0,0,0,18,1,0,141,145,9776,0,0,,89.3,24,0,0,299,304,297,298,300,298,298,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:05:36,1250,27,19,5,9,36,2022-09-27T17:12:53.000Z,0,5,0,0,0,18,1,0,141,145,9784,0,0,,7.4,24,0,0,299,304,297,298,300,298,299,304,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:05:39,1251,27,19,5,9,39,2022-09-27T17:12:56.000Z,0,5,0,0,0,18,1,0,141,145,9792,0,0,,63.6,24,0,0,299,304,296,298,299,298,300,304,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:05:42,1252,27,19,5,9,42,2022-09-27T17:12:59.000Z,0,5,0,0,0,18,1,0,141,145,9800,0,0,,121.5,24,0,0,299,303,296,298,299,297,300,304,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:05:44,1253,27,19,5,9,44,2022-09-27T17:13:01.000Z,0,5,0,0,0,18,1,0,141,145,9808,0,0,,39.6,24,0,0,298,303,297,298,298,297,301,304,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:05:47,1254,27,19,5,9,47,2022-09-27T17:13:04.000Z,0,5,0,0,0,18,1,0,141,145,9816,0,0,,95.8,24,0,0,298,303,297,298,298,297,302,304,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:05:49,1255,27,19,5,9,49,2022-09-27T17:13:06.000Z,0,5,0,0,0,18,1,0,141,145,9824,0,0,,13.9,24,0,0,298,302,297,298,297,297,302,304,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:05:52,1256,27,19,5,9,52,2022-09-27T17:13:09.000Z,0,5,0,0,0,18,1,0,141,145,9832,0,0,,70.1,24,0,0,298,302,297,298,297,297,303,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:05:55,1257,27,19,5,9,55,2022-09-27T17:13:12.000Z,0,5,0,0,0,18,1,0,141,145,9840,0,0,,126.4,24,0,0,298,301,298,298,296,297,304,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:05:57,1258,27,19,5,9,57,2022-09-27T17:13:14.000Z,0,5,0,0,0,18,1,0,141,145,9848,0,0,,44.4,24,0,0,298,301,298,298,296,297,304,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:00,1259,27,19,6,9,0,2022-09-27T17:13:17.000Z,0,5,0,0,0,18,1,0,141,145,9856,0,0,,100.7,24,0,0,298,300,299,299,296,298,305,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:02,1260,27,19,6,9,2,2022-09-27T17:13:19.000Z,0,5,0,0,0,18,1,0,141,145,9864,0,0,,18.7,24,0,0,298,300,299,299,296,298,305,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:05,1261,27,19,6,9,5,2022-09-27T17:13:22.000Z,0,5,0,0,0,18,1,0,141,145,9872,0,0,,76.7,24,0,0,298,299,300,299,296,298,306,302,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:08,1262,27,19,6,9,8,2022-09-27T17:13:25.000Z,0,5,0,0,0,18,1,0,141,145,9880,0,0,,132.9,24,0,0,298,298,301,299,296,299,306,302,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:10,1263,27,19,6,9,10,2022-09-27T17:13:27.000Z,0,5,0,0,0,18,1,0,141,145,9888,0,0,,49.3,24,0,0,298,298,301,299,296,299,306,302,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:13,1264,27,19,6,9,13,2022-09-27T17:13:30.000Z,0,5,0,0,0,18,1,0,141,145,9896,0,0,,107.2,24,0,0,298,298,302,299,297,300,306,301,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:15,1265,27,19,6,9,15,2022-09-27T17:13:32.000Z,0,5,0,0,0,18,1,0,141,145,9904,0,0,,23.6,24,0,0,298,297,303,299,297,301,305,301,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:18,1266,27,19,6,9,18,2022-09-27T17:13:35.000Z,0,5,0,0,0,18,1,0,141,145,9912,0,0,,81.5,24,0,0,298,297,303,299,298,301,305,300,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:21,1267,27,19,6,9,21,2022-09-27T17:13:38.000Z,0,5,0,0,0,18,1,0,141,145,9920,0,0,,137.8,24,0,0,298,297,304,299,298,302,305,300,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:23,1268,27,19,6,9,23,2022-09-27T17:13:40.000Z,0,5,0,0,0,18,1,0,141,145,9928,0,0,,55.8,24,0,0,298,297,304,299,299,302,304,300,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:26,1269,27,19,6,9,26,2022-09-27T17:13:43.000Z,0,5,0,0,0,18,1,0,141,145,9936,0,0,,112.1,24,0,0,298,297,304,299,299,303,304,299,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:28,1270,27,19,6,9,28,2022-09-27T17:13:45.000Z,0,5,0,0,0,18,1,0,141,145,9944,0,0,,30.1,24,0,0,298,297,304,299,300,303,303,299,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:31,1271,27,19,6,9,31,2022-09-27T17:13:48.000Z,0,5,0,0,0,18,1,0,141,145,9952,0,0,,88.0,24,0,0,298,297,304,299,300,304,303,299,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:34,1272,27,19,6,9,34,2022-09-27T17:13:51.000Z,0,5,0,0,0,18,1,0,141,145,9960,0,0,,142.6,24,0,0,298,298,304,299,301,304,302,298,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:37,1274,27,19,6,9,37,2022-09-27T17:13:54.000Z,0,5,0,0,0,19,1,0,141,145,9967,0,0,,60.7,25,0,0,299,298,304,299,302,304,301,298,,,13,300,300,300,300,300,300,300,300,,2022,1
2022-09-27 19:06:39,1275,27,19,6,9,39,2022-09-27T17:13:56.000Z,0,5,0,0,0,19,1,0,141,145,9975,0,0,,118.6,25,0,0,299,299,304,299,302,304,301,298,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:42,1276,27,19,6,9,42,2022-09-27T17:13:59.000Z,0,5,0,0,0,19,1,0,141,145,9983,0,0,,174.9,25,0,0,299,300,304,298,303,303,300,298,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:46,1277,27,19,6,9,46,2022-09-27T17:14:02.000Z,0,5,0,0,0,19,1,0,141,145,9991,0,0,,231.1,25,0,0,299,300,303,298,303,303,300,297,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:47,1278,27,19,6,9,47,2022-09-27T17:14:03.000Z,0,5,0,0,0,19,1,0,141,145,9999,0,0,,9.3,25,0,0,299,300,303,298,303,303,299,297,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:06:50,1279,27,19,6,9,50,2022-09-27T17:14:06.000Z,0,5,0,0,0,19,1,0,141,145,10007,0,0,,67.2,25,0,0,299,301,303,298,303,303,299,297,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:10:59,1280,27,19,10,9,59,2022-09-27T17:18:16.000Z,0,5,0,0,0,19,1,0,141,145,10015,0,0,,60.2,25,0,0,299,303,299,301,300,298,299,304,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:02,1281,27,19,11,9,2,2022-09-27T17:18:19.000Z,0,5,0,0,0,19,1,0,141,145,10023,0,0,,116.5,25,0,0,299,302,298,301,300,298,299,304,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:04,1282,27,19,11,9,4,2022-09-27T17:18:21.000Z,0,5,0,0,0,19,1,0,141,145,10031,0,0,,34.5,25,0,0,299,302,298,301,299,299,298,304,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:07,1283,27,19,11,9,7,2022-09-27T17:18:24.000Z,0,5,0,0,0,19,1,0,141,145,10039,0,0,,92.5,25,0,0,298,302,298,301,299,299,298,304,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:09,1284,27,19,11,9,9,2022-09-27T17:18:26.000Z,0,5,0,0,0,19,1,0,141,145,10047,0,0,,8.8,25,0,0,298,301,298,301,298,299,298,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:12,1285,27,19,11,9,12,2022-09-27T17:18:29.000Z,0,5,0,0,0,19,1,0,141,145,10055,0,0,,66.8,25,0,0,298,301,298,301,298,300,298,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:15,1286,27,19,11,9,15,2022-09-27T17:18:32.000Z,0,5,0,0,0,19,1,0,141,145,10063,0,0,,123.0,25,0,0,298,300,299,301,298,300,298,303,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:17,1287,27,19,11,9,17,2022-09-27T17:18:34.000Z,0,5,0,0,0,19,1,0,141,145,10071,0,0,,41.1,25,0,0,298,300,299,301,297,301,298,302,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:20,1288,27,19,11,9,20,2022-09-27T17:18:37.000Z,0,5,0,0,0,19,1,0,141,145,10079,0,0,,97.3,25,0,0,298,300,299,301,297,301,298,302,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:22,1289,27,19,11,9,22,2022-09-27T17:18:39.000Z,0,5,0,0,0,19,1,0,141,145,10087,0,0,,15.4,25,0,0,298,299,299,301,297,302,298,301,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:25,1290,27,19,11,9,25,2022-09-27T17:18:42.000Z,0,5,0,0,0,19,1,0,141,145,10095,0,0,,71.6,25,0,0,298,299,299,300,296,302,299,301,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:28,1291,27,19,11,9,28,2022-09-27T17:18:45.000Z,0,5,0,0,0,19,1,0,141,145,10103,0,0,,127.9,25,0,0,298,298,300,300,296,303,299,301,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:30,1292,27,19,11,9,30,2022-09-27T17:18:47.000Z,0,5,0,0,0,19,1,0,141,145,10111,0,0,,45.9,25,0,0,299,298,300,300,296,303,299,300,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:33,1293,27,19,11,9,33,2022-09-27T17:18:50.000Z,0,5,0,0,0,19,1,0,141,145,10119,0,0,,103.8,25,0,0,299,298,301,300,296,304,300,300,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:35,1294,27,19,11,9,35,2022-09-27T17:18:52.000Z,0,5,0,0,0,19,1,0,141,145,10127,0,0,,20.2,25,0,0,299,298,301,299,296,304,300,299,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:38,1295,27,19,11,9,38,2022-09-27T17:18:55.000Z,0,5,0,0,0,19,1,0,141,145,10135,0,0,,78.1,25,0,0,299,297,301,299,297,304,301,299,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:41,1296,27,19,11,9,41,2022-09-27T17:18:58.000Z,0,5,0,0,0,19,1,0,141,145,10143,0,0,,134.4,25,0,0,299,297,302,299,297,305,302,299,,,13,300,300,300,300,300,300,300,300,,2022,0
2022-09-27 19:11:43,1297,27,19,11,9,43,2022-09-27T17:19:00.000Z,0,5,0,0,0,19,1,0,141,145,10151,0,0,,52.5,25,0,0,299,297,302,299,297,305,302,298,,,13,300,300,300,300,300,300,300,300,,2022,0
